Ion N,Azm,Elv,KE,TOF,X,Y,Z,KE
initial,initial,initial,initial,final,final,final,final,final
95,0,0.0,1488.11,0.0334414,406.7,0.0,0,590.894
96,0,0.0,1987.01,0.0218252,406.7,0.0,0,1089.8
97,0,0.0,1570.14,0.0300926,406.7,0.0,0,672.928
98,0,0.0,1600.9,0.0290952,406.7,0.0,0,703.691
99,0,0.0,2108.93,0.0205076,406.7,0.0,0,1211.71
100,0,0.0,1361.54,0.0426374,406.7,0.0,0,464.328
101,0,0.0,1341.0,0.0451421,406.7,0.0,0,443.783
102,0,0.0,1388.35,0.0399769,406.7,0.0,0,491.136
103,0,0.0,1895.79,0.0230127,406.7,0.0,0,998.573
104,0,0.0,2005.76,0.0216047,406.7,0.0,0,1108.55
105,0,0.0,2237.07,0.0193642,406.7,0.0,0,1339.86
106,0,0.0,2085.49,0.0207412,406.7,0.0,0,1188.28
107,0,0.0,2035.21,0.0212725,406.7,0.0,0,1137.99
108,0,0.0,2134.89,0.0202585,406.7,0.0,0,1237.68
109,0,0.0,1287.89,0.0550449,406.7,0.0,0,390.681
110,0,0.0,2176.82,0.0198758,406.7,0.0,0,1279.61
111,0,0.0,1753.95,0.0253676,406.7,0.0,0,856.735
112,0,0.0,1427.86,0.0369054,406.7,0.0,0,530.651
113,0,0.0,1979.25,0.0219187,406.7,0.0,0,1082.03
114,0,0.0,2237.73,0.0193588,406.7,0.0,0,1340.51
115,0,0.0,1627.93,0.0283038,406.7,0.0,0,730.718
116,0,0.0,1450.42,0.0354709,406.7,0.0,0,553.21
117,0,0.0,2333.46,0.0186262,406.7,0.0,0,1436.25
118,0,0.0,1843.27,0.0237996,406.7,0.0,0,946.057
119,0,0.0,2206.16,0.0196214,406.7,0.0,0,1308.95
120,0,0.0,2133.61,0.0202705,406.7,0.0,0,1236.4
121,0,0.0,2023.41,0.0214036,406.7,0.0,0,1126.2
122,0,0.0,1776.03,0.0249486,406.7,0.0,0,878.818
123,0,0.0,2336.64,0.0186033,406.7,0.0,0,1439.43
124,0,0.0,1545.57,0.030977,406.7,0.0,0,648.355
125,0,0.0,2007.74,0.0215819,406.7,0.0,0,1110.53
126,0,0.0,2270.94,0.0190943,406.7,0.0,0,1373.73
127,0,0.0,2182.5,0.0198257,406.7,0.0,0,1285.29
128,0,0.0,1993.64,0.0217465,406.7,0.0,0,1096.43
129,0,0.0,1974.45,0.0219771,406.7,0.0,0,1077.24
130,0,0.0,1834.0,0.0239478,406.7,0.0,0,936.791
131,0,0.0,2115.26,0.0204459,406.7,0.0,0,1218.05
132,0,0.0,2094.39,0.0206515,406.7,0.0,0,1197.18
133,0,0.0,1480.82,0.0338036,406.7,0.0,0,583.607
134,0,0.0,1773.06,0.0250036,406.7,0.0,0,875.852
135,0,0.0,1272.95,0.0595178,406.7,0.0,0,375.739
136,0,0.0,1849.02,0.0237092,406.7,0.0,0,951.806
137,0,0.0,1676.6,0.0270415,406.7,0.0,0,779.389
138,0,0.0,1777.57,0.0249202,406.7,0.0,0,880.356
139,0,0.0,1370.66,0.0416661,406.7,0.0,0,473.447
140,0,0.0,1562.19,0.0303694,406.7,0.0,0,664.981
141,0,0.0,1498.69,0.0329378,406.7,0.0,0,601.478
142,0,0.0,1285.07,0.0558031,406.7,0.0,0,387.861
143,0,0.0,1550.84,0.0307799,406.7,0.0,0,653.628
144,0,0.0,1240.65,0.0759553,406.7,0.0,0,343.438
145,0,0.0,2024.15,0.0213953,406.7,0.0,0,1126.93
146,0,0.0,1572.19,0.0300225,406.7,0.0,0,674.979
147,0,0.0,1861.03,0.0235238,406.7,0.0,0,963.818
148,0,0.0,1710.48,0.0262648,406.7,0.0,0,813.265
149,0,0.0,2069.23,0.0209083,406.7,0.0,0,1172.02
150,0,0.0,1706.85,0.0263444,406.7,0.0,0,809.639
151,0,0.0,2346.28,0.0185346,406.7,0.0,0,1449.06
152,0,0.0,2089.22,0.0207034,406.7,0.0,0,1192.01
153,0,0.0,2322.43,0.0187061,406.7,0.0,0,1425.22
154,0,0.0,1300.2,0.0521004,406.7,0.0,0,402.986
155,0,0.0,2144.23,0.0201712,406.7,0.0,0,1247.02
156,0,0.0,2051.43,0.0210963,406.7,0.0,0,1154.22
157,0,0.0,2298.08,0.0188866,406.7,0.0,0,1400.87
158,0,0.0,1994.89,0.0217318,406.7,0.0,0,1097.67
159,0,0.0,2369.6,0.0183716,406.7,0.0,0,1472.39
160,0,0.0,2324.59,0.0186903,406.7,0.0,0,1427.38
161,0,0.0,1398.9,0.0390731,406.7,0.0,0,501.683
162,0,0.0,1427.72,0.0369154,406.7,0.0,0,530.504
163,0,0.0,1576.4,0.0298803,406.7,0.0,0,679.191
164,0,0.0,2252.67,0.0192384,406.7,0.0,0,1355.46
165,0,0.0,1574.65,0.0299394,406.7,0.0,0,677.433
166,0,0.0,1604.27,0.0289925,406.7,0.0,0,707.06
167,0,0.0,1984.81,0.0218516,406.7,0.0,0,1087.6
168,0,0.0,2265.67,0.0191356,406.7,0.0,0,1368.46
169,0,0.0,1263.98,0.0628801,406.7,0.0,0,366.767
170,0,0.0,1422.11,0.0373035,406.7,0.0,0,524.901
171,0,0.0,2060.33,0.0210016,406.7,0.0,0,1163.12
172,0,0.0,1691.8,0.0266838,406.7,0.0,0,794.587
173,0,0.0,2108.01,0.0205166,406.7,0.0,0,1210.8
174,0,0.0,1281.34,0.0568639,406.7,0.0,0,384.126
175,0,0.0,2032.97,0.0212971,406.7,0.0,0,1135.76
176,0,0.0,2150.16,0.0201164,406.7,0.0,0,1252.95
177,0,0.0,1321.88,0.0479887,406.7,0.0,0,424.666
178,0,0.0,1519.02,0.0320378,406.7,0.0,0,621.804
179,0,0.0,1543.74,0.0310464,406.7,0.0,0,646.524
180,0,0.0,2161.41,0.0200138,406.7,0.0,0,1264.19
181,0,0.0,2012.9,0.0215226,406.7,0.0,0,1115.69
182,0,0.0,2205.43,0.0196276,406.7,0.0,0,1308.21
183,0,0.0,1605.77,0.0289472,406.7,0.0,0,708.562
184,0,0.0,1614.01,0.0287022,406.7,0.0,0,716.802
185,0,0.0,2331.77,0.0186383,406.7,0.0,0,1434.56
186,0,0.0,1639.5,0.027986,406.7,0.0,0,742.291
187,0,0.0,2068.06,0.0209205,406.7,0.0,0,1170.84
188,0,0.0,1723.44,0.0259863,406.7,0.0,0,826.229
189,0,0.0,1745.49,0.0255343,406.7,0.0,0,848.275
190,0,0.0,2281.16,0.0190153,406.7,0.0,0,1383.95
191,0,0.0,1968.81,0.0220464,406.7,0.0,0,1071.6
192,0,0.0,2321.48,0.0187131,406.7,0.0,0,1424.27
193,0,0.0,2118.45,0.0204151,406.7,0.0,0,1221.24
194,0,0.0,2257.43,0.0192006,406.7,0.0,0,1360.22
195,0,0.0,2366.45,0.0183933,406.7,0.0,0,1469.24
196,0,0.0,1314.0,0.0493528,406.7,0.0,0,416.793
197,0,0.0,2289.62,0.0189506,406.7,0.0,0,1392.41
198,0,0.0,1580.76,0.0297355,406.7,0.0,0,683.549
199,0,0.0,2235.09,0.0193803,406.7,0.0,0,1337.88
200,0,0.0,1744.24,0.0255592,406.7,0.0,0,847.03
201,0,0.0,2233.55,0.0193929,406.7,0.0,0,1336.34
202,0,0.0,1216.41,0.109465,406.7,0.0,0,319.194
203,0,0.0,1412.59,0.037996,406.7,0.0,0,515.379
204,0,0.0,1298.22,0.052538,406.7,0.0,0,401.008
205,0,0.0,2292.37,0.0189297,406.7,0.0,0,1395.15
206,0,0.0,1336.23,0.0457976,406.7,0.0,0,439.022
207,0,0.0,2388.54,0.0182425,406.7,0.0,0,1491.32
208,0,0.0,2091.75,0.0206779,406.7,0.0,0,1194.54
209,0,0.0,1566.26,0.0302267,406.7,0.0,0,669.046
210,0,0.0,2097.24,0.020623,406.7,0.0,0,1200.03
211,0,0.0,2119.03,0.0204095,406.7,0.0,0,1221.82
212,0,0.0,2374.58,0.0183373,406.7,0.0,0,1477.37
213,0,0.0,1350.26,0.0439524,406.7,0.0,0,453.049
214,0,0.0,1281.37,0.0568531,406.7,0.0,0,384.162
215,0,0.0,1657.19,0.0275223,406.7,0.0,0,759.979
216,0,0.0,1990.42,0.0217846,406.7,0.0,0,1093.2
217,0,0.0,2104.46,0.0205515,406.7,0.0,0,1207.25
218,0,0.0,1734.9,0.0257481,406.7,0.0,0,837.692
219,0,0.0,1985.36,0.021845,406.7,0.0,0,1088.15
220,0,0.0,1229.81,0.0862862,406.7,0.0,0,332.598
221,0,0.0,2245.23,0.019298,406.7,0.0,0,1348.02
222,0,0.0,1344.15,0.0447256,406.7,0.0,0,446.933
223,0,0.0,1837.08,0.0238983,406.7,0.0,0,939.868
224,0,0.0,2113.5,0.020463,406.7,0.0,0,1216.29
225,0,0.0,1645.4,0.0278285,406.7,0.0,0,748.187
226,0,0.0,1285.81,0.0556028,406.7,0.0,0,388.593
227,0,0.0,1897.03,0.0229951,406.7,0.0,0,999.818
228,0,0.0,1343.67,0.0447877,406.7,0.0,0,446.457
229,0,0.0,1330.23,0.0466724,406.7,0.0,0,433.016
230,0,0.0,1688.76,0.0267541,406.7,0.0,0,791.548
231,0,0.0,2365.17,0.0184022,406.7,0.0,0,1467.96
232,0,0.0,1960.86,0.0221452,406.7,0.0,0,1063.65
233,0,0.0,2256.99,0.019204,406.7,0.0,0,1359.78
234,0,0.0,1245.01,0.0728145,406.7,0.0,0,347.796
235,0,0.0,1873.59,0.0233348,406.7,0.0,0,976.38
236,0,0.0,1743.51,0.0255738,406.7,0.0,0,846.298
237,0,0.0,1865.65,0.0234538,406.7,0.0,0,968.433
238,0,0.0,2307.86,0.0188134,406.7,0.0,0,1410.65
239,0,0.0,1543.11,0.0310701,406.7,0.0,0,645.901
240,0,0.0,2188.43,0.0197738,406.7,0.0,0,1291.22
241,0,0.0,2088.34,0.0207122,406.7,0.0,0,1191.13
242,0,0.0,2013.42,0.0215168,406.7,0.0,0,1116.2
243,0,0.0,1767.17,0.025114,406.7,0.0,0,869.956
244,0,0.0,2108.85,0.0205083,406.7,0.0,0,1211.64
245,0,0.0,2304.75,0.0188366,406.7,0.0,0,1407.53
246,0,0.0,2164.78,0.0199834,406.7,0.0,0,1267.56
247,0,0.0,1510.63,0.0323991,406.7,0.0,0,613.417
248,0,0.0,1688.14,0.0267685,406.7,0.0,0,790.925
249,0,0.0,1730.99,0.0258287,406.7,0.0,0,833.773
250,0,0.0,1614.78,0.0286797,406.7,0.0,0,717.571
251,0,0.0,2110.87,0.0204887,406.7,0.0,0,1213.66
252,0,0.0,1426.33,0.0370105,406.7,0.0,0,529.113
253,0,0.0,1529.93,0.0315873,406.7,0.0,0,632.717
254,0,0.0,1485.73,0.0335583,406.7,0.0,0,588.514
255,0,0.0,1368.83,0.0418551,406.7,0.0,0,471.616
256,0,0.0,1417.43,0.0376391,406.7,0.0,0,520.214
257,0,0.0,2329.76,0.0186529,406.7,0.0,0,1432.55
258,0,0.0,1363.23,0.0424522,406.7,0.0,0,466.013
259,0,0.0,1517.26,0.0321124,406.7,0.0,0,620.046
260,0,0.0,2194.26,0.0197233,406.7,0.0,0,1297.04
261,0,0.0,1838.69,0.0238725,406.7,0.0,0,941.479
262,0,0.0,1201.9,0.208681,406.7,0.0,0,304.692
263,0,0.0,1253.8,0.0676029,406.7,0.0,0,356.586
264,0,0.0,1779.03,0.0248933,406.7,0.0,0,881.821
265,0,0.0,1443.61,0.0358841,406.7,0.0,0,546.399
266,0,0.0,1480.16,0.0338371,406.7,0.0,0,582.947
267,0,0.0,1426.73,0.0369829,406.7,0.0,0,529.516
268,0,0.0,2177.12,0.0198732,406.7,0.0,0,1279.9
269,0,0.0,1279.32,0.0574649,406.7,0.0,0,382.111
270,0,0.0,1941.75,0.022389,406.7,0.0,0,1044.53
271,0,0.0,1760.03,0.0252499,406.7,0.0,0,862.814
272,0,0.0,1950.65,0.0222745,406.7,0.0,0,1053.43
273,0,0.0,2256.77,0.0192058,406.7,0.0,0,1359.56
274,0,0.0,2261.57,0.0191678,406.7,0.0,0,1364.36
275,0,0.0,1406.11,0.0384931,406.7,0.0,0,508.897
276,0,0.0,1310.67,0.0499712,406.7,0.0,0,413.46
277,0,0.0,1737.06,0.025704,406.7,0.0,0,839.852
278,0,0.0,1373.04,0.0414246,406.7,0.0,0,475.828
279,0,0.0,2313.61,0.0187709,406.7,0.0,0,1416.4
280,0,0.0,2364.59,0.0184062,406.7,0.0,0,1467.37
281,0,0.0,1339.38,0.0453604,406.7,0.0,0,442.172
282,0,0.0,2395.13,0.0181982,406.7,0.0,0,1497.92
283,0,0.0,1796.87,0.0245733,406.7,0.0,0,899.656
284,0,0.0,2156.32,0.02006,406.7,0.0,0,1259.1
285,0,0.0,1569.88,0.0301014,406.7,0.0,0,672.672
286,0,0.0,1895.27,0.02302,406.7,0.0,0,998.06
287,0,0.0,2096.04,0.020635,406.7,0.0,0,1198.82
288,0,0.0,1937.42,0.0224454,406.7,0.0,0,1040.21
289,0,0.0,1758.82,0.0252732,406.7,0.0,0,861.606
290,0,0.0,1627.49,0.0283161,406.7,0.0,0,730.279
291,0,0.0,1713.74,0.0261939,406.7,0.0,0,816.524
292,0,0.0,1505.8,0.0326137,406.7,0.0,0,608.583
293,0,0.0,1594.53,0.0292928,406.7,0.0,0,697.319
